iter	RMSE
0	0.4224526584
1	0.4143715431
2	0.4070413746
3	0.4011772639
4	0.3952634379
5	0.3901350915
6	0.3855739121
7	0.3816502946
8	0.3781293928
9	0.3750085998
10	0.372295254
11	0.3699209827
12	0.3678727394
13	0.3659168433
14	0.3643096012
15	0.3629264011
16	0.3615800418
17	0.3603705936
18	0.3591892033
19	0.3581715105
20	0.3571872273
21	0.3564430373
22	0.355818139
23	0.3552652539
24	0.3546175623
25	0.3541014741
26	0.3536187513
27	0.353278482
28	0.3528379608
29	0.3524930814
30	0.3521914051
31	0.3518060252
32	0.3514624799
33	0.3512355242
34	0.3510138624
35	0.3508307186
36	0.3506557964
37	0.3504048551
38	0.3501947213
39	0.3499942909
40	0.349826916
41	0.3497104281
42	0.3495841138
43	0.3495374266
44	0.3493887499
45	0.3492367385
46	0.3490935245
47	0.348981582
48	0.3488733744
49	0.3487214802
50	0.3486267283
51	0.3485360888
52	0.3484627494
53	0.3483789385
54	0.3483218588
55	0.3482252593
56	0.3481259026
57	0.3480784243
58	0.3480137997
59	0.3479627989
60	0.3479309947
61	0.3478737532
62	0.3478267958
63	0.3477158842
64	0.3476213416
65	0.3475213379
66	0.3474437581
67	0.347344445
68	0.3472659122
69	0.3472100937
70	0.3470972597
71	0.3470191186
72	0.3469707837
73	0.3469411295
74	0.3468706054
75	0.3468382466
76	0.346781154
77	0.3467377394
78	0.3467074216
79	0.3466395084
80	0.3466128489
81	0.3465587295
82	0.346523873
83	0.346473098
84	0.3464345836
85	0.3463682788
86	0.346303243
87	0.3462456228
88	0.3462115115
89	0.3461730426
90	0.3461555175
91	0.3461030545
92	0.346065059
93	0.3460306325
94	0.3460057584
95	0.3459722843
96	0.3459480218
97	0.3459112061
98	0.3458706278
99	0.3458350939
100	0.3457976769
101	0.3457380676
102	0.3457080047
103	0.3456806053
104	0.3456523743
105	0.3456400825
106	0.3455992477
107	0.345575222
108	0.3455718035
109	0.3455414874
110	0.3455102253
111	0.3454796275
112	0.345467012
113	0.3454263678
114	0.3454186323
115	0.3453813647
116	0.34536144
117	0.3453277374
118	0.3453066855
119	0.3452779972
120	0.3452419064
121	0.3451869749
122	0.3451296673
123	0.3451028176
124	0.3450773062
125	0.3450525513
126	0.3450084187
127	0.3449815016
128	0.3449717924
129	0.3449650681
130	0.3449287043
131	0.3449069302
132	0.3448654409
133	0.3448296198
134	0.3447875485
135	0.3447744911
136	0.3447319734
137	0.3447230339
138	0.3447099085
139	0.3446908097
140	0.344657367
141	0.3446301739
142	0.3446164957
143	0.3446056129
144	0.3445760138
145	0.3445408126
146	0.3445215448
147	0.3444835834
148	0.3444654717
149	0.3444545606
150	0.3444346899
151	0.3444085524
152	0.3443819636
153	0.3443441468
154	0.3443228127
155	0.3442968043
156	0.3442807656
157	0.3442538634
158	0.3442339528
159	0.3442081416
160	0.3441825964
161	0.3441497733
162	0.3441262311
163	0.3440825019
164	0.3440695911
165	0.3440427585
166	0.34401046
167	0.3439826155
168	0.343957503
169	0.3439344632
170	0.3439209867
171	0.3438913532
172	0.3438669731
173	0.3438537793
174	0.3438131388
175	0.3437916382
176	0.3437599021
177	0.3437237491
178	0.343699628
179	0.3436777643
180	0.3436557905
181	0.3436206854
182	0.3436032437
183	0.3435816719
184	0.3435651992
185	0.3435412174
186	0.343521889
187	0.3434927412
188	0.343471433
189	0.3434445743
190	0.343427767
191	0.3434062206
192	0.343389676
193	0.3433757976
194	0.3433550916
195	0.343325289
196	0.3432998285
197	0.3432816687
198	0.3432648553
199	0.343244362
200	0.3432246525
201	0.3432106629
202	0.3431950405
203	0.3431771831
204	0.3431588689
205	0.3431453189
206	0.3431293935
207	0.3431036349
208	0.3430898138
209	0.3430670811
210	0.3430558017
211	0.3430444547
212	0.3430301909
213	0.3429991661
214	0.3429821392
215	0.34296796
216	0.3429450988
217	0.342935694
218	0.3429139291
219	0.342904702
220	0.3428875336
221	0.3428722214
222	0.3428533129
223	0.3428363302
224	0.3428221473
225	0.3428026609
226	0.3427861083
227	0.342757013
228	0.3427350501
229	0.342723737
230	0.3427061845
231	0.342698868
232	0.3426817851
233	0.3426571965
234	0.3426486936
235	0.3426274829
236	0.3426123308
237	0.3425938108
238	0.3425765448
239	0.3425615283
240	0.3425483943
241	0.3425286977
242	0.3425132183
243	0.3425025054
244	0.3424838007
245	0.3424687012
246	0.3424397565
247	0.3424220426
248	0.342415002
249	0.3423820972
250	0.3423598525
251	0.3423371491
252	0.3423168835
253	0.3422990681
254	0.3422875691
255	0.3422724071
256	0.3422589775
257	0.3422451869
258	0.3422407822
259	0.3422198509
260	0.3422089838
261	0.3421924652
262	0.3421801148
263	0.342157505
264	0.3421356138
265	0.3421206575
266	0.3421134209
267	0.3420983682
268	0.3420795399
269	0.3420733738
270	0.3420611878
271	0.3420500973
272	0.3420443326
273	0.3420301527
274	0.342006766
275	0.3419951181
276	0.34196629
277	0.3419449813
278	0.3419348576
279	0.3419296019
280	0.3419147561
281	0.3419028719
282	0.3418845314
283	0.341862351
284	0.341846234
285	0.3418332965
286	0.3418191428
287	0.341813507
288	0.3417861221
289	0.3417769011
290	0.3417632097
291	0.341744162
292	0.3417317863
293	0.3417272416
294	0.3417100727
295	0.3416937784
296	0.3416802362
297	0.3416627418
298	0.3416521345
299	0.3416395363
300	0.3416268131
301	0.3416114096
302	0.3415935319
303	0.3415780211
304	0.3415619577
305	0.3415534475
306	0.3415394632
307	0.3415359052
308	0.3415215091
309	0.3415064214
310	0.3414953125
311	0.3414850444
