iter	Passed	Remaining
0	143	142955
1	147	73598
2	152	50668
3	155	38831
4	160	31901
5	164	27269
6	170	24232
7	175	21745
8	179	19785
9	185	18369
10	190	17121
11	195	16078
12	201	15272
13	205	14499
14	210	13826
15	217	13373
16	222	12860
17	227	12427
18	234	12116
19	239	11735
20	244	11377
21	250	11132
22	255	10835
23	259	10567
24	265	10350
25	270	10119
26	274	9888
27	279	9716
28	284	9528
29	288	9337
30	293	9181
31	298	9035
32	303	8890
33	308	8770
34	314	8658
35	318	8533
36	323	8419
37	330	8360
38	335	8266
39	342	8222
40	348	8143
41	353	8058
42	360	8026
43	364	7917
44	369	7840
45	376	7814
46	383	7771
47	389	7727
48	394	7664
49	401	7626
50	407	7576
51	412	7516
52	419	7488
53	424	7437
54	430	7402
55	440	7424
56	445	7377
57	451	7339
58	457	7293
59	463	7254
60	467	7192
61	472	7149
62	477	7108
63	483	7066
64	488	7025
65	494	6994
66	499	6954
67	505	6931
68	511	6905
69	517	6870
70	523	6844
71	529	6822
72	534	6790
73	540	6763
74	547	6753
75	553	6729
76	559	6712
77	566	6690
78	571	6656
79	576	6628
80	580	6591
81	585	6557
82	592	6542
83	596	6508
84	601	6471
85	605	6440
86	611	6416
87	615	6382
88	620	6348
89	626	6334
90	631	6305
91	635	6270
92	641	6258
93	645	6226
94	650	6193
95	655	6171
96	660	6149
97	664	6117
98	669	6090
99	675	6075
100	679	6046
101	683	6019
102	690	6009
103	694	5984
104	698	5956
105	703	5935
106	708	5914
107	712	5886
108	715	5848
109	720	5830
110	724	5803
111	728	5777
112	733	5755
113	737	5731
114	741	5707
115	745	5682
116	750	5660
117	754	5639
118	758	5616
119	763	5596
120	767	5577
121	771	5555
122	776	5535
123	780	5513
124	784	5493
125	789	5475
126	793	5452
127	797	5433
128	801	5414
129	805	5392
130	810	5376
131	815	5362
132	819	5340
133	823	5322
134	827	5302
135	831	5285
136	836	5268
137	840	5248
138	844	5233
139	849	5216
140	853	5199
141	857	5180
142	862	5167
143	866	5151
144	870	5135
145	875	5120
146	880	5107
147	884	5093
148	889	5080
149	893	5063
150	898	5050
151	903	5038
152	907	5025
153	912	5013
154	916	4997
155	920	4982
156	925	4969
157	929	4955
158	934	4941
159	938	4927
160	943	4916
161	947	4902
162	951	4886
163	955	4870
164	960	4858
165	964	4844
